"","x"
"5886","LARCENY/THEFT"
"5887","OTHER OFFENSES"
"5888","LARCENY/THEFT"
"5889","OTHER OFFENSES"
"5890","LARCENY/THEFT"
"5891","LARCENY/THEFT"
"5892","OTHER OFFENSES"
"5893","OTHER OFFENSES"
"5894","LARCENY/THEFT"
"5895","LARCENY/THEFT"
"5896","LARCENY/THEFT"
"5897","LARCENY/THEFT"
"5898","LARCENY/THEFT"
"5899","NON-CRIMINAL"
"5900","NON-CRIMINAL"
"5901","OTHER OFFENSES"
"5902","MISSING PERSON"
"5903","LARCENY/THEFT"
"5904","LARCENY/THEFT"
"5905","NON-CRIMINAL"
"5906","NON-CRIMINAL"
"5907","LARCENY/THEFT"
"5908","NON-CRIMINAL"
"5909","NON-CRIMINAL"
"5910","NON-CRIMINAL"
"5911","LARCENY/THEFT"
"5912","LARCENY/THEFT"
"5913","OTHER OFFENSES"
"5914","VANDALISM"
"5915","VANDALISM"
"5916","VANDALISM"
"5917","NON-CRIMINAL"
"5918","LARCENY/THEFT"
"5919","LARCENY/THEFT"
"5920","LARCENY/THEFT"
"5921","LARCENY/THEFT"
"5922","LARCENY/THEFT"
"5923","LARCENY/THEFT"
"5924","ASSAULT"
"5925","NON-CRIMINAL"
"5926","OTHER OFFENSES"
"5927","OTHER OFFENSES"
"5928","NON-CRIMINAL"
"5929","LARCENY/THEFT"
"5930","LARCENY/THEFT"
"5931","LARCENY/THEFT"
"5932","LARCENY/THEFT"
"5933","LARCENY/THEFT"
"5934","ASSAULT"
"5935","NON-CRIMINAL"
"5936","LARCENY/THEFT"
"5937","OTHER OFFENSES"
"5938","LARCENY/THEFT"
"5939","LARCENY/THEFT"
"5940","LARCENY/THEFT"
"5941","LARCENY/THEFT"
"5942","LARCENY/THEFT"
"5943","LARCENY/THEFT"
"5944","LARCENY/THEFT"
"5945","LARCENY/THEFT"
"5946","BURGLARY"
"5947","LARCENY/THEFT"
"5948","LARCENY/THEFT"
"5949","LARCENY/THEFT"
"5950","OTHER OFFENSES"
"5951","OTHER OFFENSES"
"5952","LARCENY/THEFT"
"5953","LARCENY/THEFT"
"5954","LARCENY/THEFT"
"5955","LARCENY/THEFT"
"5956","LARCENY/THEFT"
"5957","LARCENY/THEFT"
"5958","LARCENY/THEFT"
"5959","NON-CRIMINAL"
"5960","ASSAULT"
"5961","LARCENY/THEFT"
"5962","LARCENY/THEFT"
"5963","LARCENY/THEFT"
"5964","LARCENY/THEFT"
"5965","LARCENY/THEFT"
"5966","NON-CRIMINAL"
"5967","NON-CRIMINAL"
"5968","NON-CRIMINAL"
"5969","LARCENY/THEFT"
"5970","LARCENY/THEFT"
"5971","LARCENY/THEFT"
"5972","LARCENY/THEFT"
"5973","ASSAULT"
"5974","ASSAULT"
"5975","ASSAULT"
"5976","OTHER OFFENSES"
"5977","NON-CRIMINAL"
"5978","LARCENY/THEFT"
"5979","LARCENY/THEFT"
"5980","OTHER OFFENSES"
"5981","OTHER OFFENSES"
"5982","OTHER OFFENSES"
"5983","OTHER OFFENSES"
"5984","NON-CRIMINAL"
"5985","LARCENY/THEFT"
"5986","OTHER OFFENSES"
"5987","OTHER OFFENSES"
"5988","OTHER OFFENSES"
"5989","OTHER OFFENSES"
"5990","OTHER OFFENSES"
"5991","OTHER OFFENSES"
"5992","OTHER OFFENSES"
"5993","OTHER OFFENSES"
"5994","OTHER OFFENSES"
"5995","OTHER OFFENSES"
"5996","OTHER OFFENSES"
"5997","OTHER OFFENSES"
"5998","OTHER OFFENSES"
"5999","OTHER OFFENSES"
"6000","NON-CRIMINAL"
"6001","NON-CRIMINAL"
"6002","LARCENY/THEFT"
"6003","LARCENY/THEFT"
"6004","LARCENY/THEFT"
"6005","LARCENY/THEFT"
"6006","LARCENY/THEFT"
"6007","LARCENY/THEFT"
"6008","LARCENY/THEFT"
"6009","OTHER OFFENSES"
"6010","LARCENY/THEFT"
"6011","NON-CRIMINAL"
"6012","OTHER OFFENSES"
"6013","LARCENY/THEFT"
"6014","OTHER OFFENSES"
"6015","LARCENY/THEFT"
"6016","OTHER OFFENSES"
"6017","LARCENY/THEFT"
"6018","NON-CRIMINAL"
"6019","NON-CRIMINAL"
"6020","NON-CRIMINAL"
"6021","LARCENY/THEFT"
"6022","OTHER OFFENSES"
"6023","LARCENY/THEFT"
"6024","LARCENY/THEFT"
"6025","LARCENY/THEFT"
"6026","LARCENY/THEFT"
"6027","LARCENY/THEFT"
"6028","LARCENY/THEFT"
"6029","LARCENY/THEFT"
"6030","LARCENY/THEFT"
"6031","OTHER OFFENSES"
"6032","OTHER OFFENSES"
"6033","LARCENY/THEFT"
"6034","LARCENY/THEFT"
"6035","LARCENY/THEFT"
"6036","LARCENY/THEFT"
"6037","NON-CRIMINAL"
"6038","LARCENY/THEFT"
"6039","LARCENY/THEFT"
"6040","ROBBERY"
"6041","ROBBERY"
"6042","ROBBERY"
"6043","LARCENY/THEFT"
"6044","ROBBERY"
"6045","LARCENY/THEFT"
"6046","ASSAULT"
"6047","OTHER OFFENSES"
"6048","NON-CRIMINAL"
"6049","NON-CRIMINAL"
"6050","NON-CRIMINAL"
"6051","LARCENY/THEFT"
"6052","LARCENY/THEFT"
"6053","LARCENY/THEFT"
"6054","OTHER OFFENSES"
"6055","LARCENY/THEFT"
"6056","NON-CRIMINAL"
"6057","LARCENY/THEFT"
"6058","LARCENY/THEFT"
"6059","NON-CRIMINAL"
"6060","NON-CRIMINAL"
"6061","LARCENY/THEFT"
"6062","LARCENY/THEFT"
"6063","LARCENY/THEFT"
"6064","NON-CRIMINAL"
"6065","LARCENY/THEFT"
"6066","LARCENY/THEFT"
"6067","LARCENY/THEFT"
"6068","LARCENY/THEFT"
"6069","LARCENY/THEFT"
"6070","OTHER OFFENSES"
"6071","NON-CRIMINAL"
"6072","LARCENY/THEFT"
"6073","LARCENY/THEFT"
"6074","LARCENY/THEFT"
"6075","LARCENY/THEFT"
"6076","OTHER OFFENSES"
"6077","LARCENY/THEFT"
"6078","LARCENY/THEFT"
"6079","LARCENY/THEFT"
"6080","LARCENY/THEFT"
"6081","LARCENY/THEFT"
"6082","LARCENY/THEFT"
"6083","LARCENY/THEFT"
"6084","LARCENY/THEFT"
"6085","OTHER OFFENSES"
"6086","OTHER OFFENSES"
"6087","OTHER OFFENSES"
"6088","LARCENY/THEFT"
"6089","LARCENY/THEFT"
"6090","OTHER OFFENSES"
"6091","LARCENY/THEFT"
"6092","LARCENY/THEFT"
"6093","LARCENY/THEFT"
"6094","NON-CRIMINAL"
"6095","LARCENY/THEFT"
"6096","OTHER OFFENSES"
"6097","LARCENY/THEFT"
"6098","LARCENY/THEFT"
"6099","LARCENY/THEFT"
"6100","OTHER OFFENSES"
"6101","LARCENY/THEFT"
"6102","LARCENY/THEFT"
"6103","OTHER OFFENSES"
"6104","OTHER OFFENSES"
"6105","OTHER OFFENSES"
"6106","LARCENY/THEFT"
"6107","LARCENY/THEFT"
"6108","LARCENY/THEFT"
"6109","LARCENY/THEFT"
"6110","LARCENY/THEFT"
"6111","OTHER OFFENSES"
"6112","LARCENY/THEFT"
"6113","LARCENY/THEFT"
"6114","LARCENY/THEFT"
"6115","LARCENY/THEFT"
"6116","LARCENY/THEFT"
"6117","LARCENY/THEFT"
"6118","OTHER OFFENSES"
"6119","LARCENY/THEFT"
"6120","ASSAULT"
"6121","OTHER OFFENSES"
"6122","LARCENY/THEFT"
"6123","LARCENY/THEFT"
"6124","LARCENY/THEFT"
"6125","LARCENY/THEFT"
"6126","LARCENY/THEFT"
"6127","LARCENY/THEFT"
"6128","LARCENY/THEFT"
"6129","LARCENY/THEFT"
"6130","LARCENY/THEFT"
"6131","NON-CRIMINAL"
"6132","LARCENY/THEFT"
"6133","LARCENY/THEFT"
"6134","LARCENY/THEFT"
"6135","LARCENY/THEFT"
"6136","LARCENY/THEFT"
"6137","LARCENY/THEFT"
"6138","LARCENY/THEFT"
"6139","LARCENY/THEFT"
"6140","OTHER OFFENSES"
"6141","OTHER OFFENSES"
"6142","ASSAULT"
"6143","LARCENY/THEFT"
"6144","LARCENY/THEFT"
"6145","LARCENY/THEFT"
"6146","LARCENY/THEFT"
"6147","OTHER OFFENSES"
"6148","LARCENY/THEFT"
"6149","LARCENY/THEFT"
"6150","LARCENY/THEFT"
"6151","LARCENY/THEFT"
"6152","LARCENY/THEFT"
"6153","LARCENY/THEFT"
"6154","LARCENY/THEFT"
"6155","LARCENY/THEFT"
"6156","OTHER OFFENSES"
"6157","LARCENY/THEFT"
"6158","LARCENY/THEFT"
"6159","LARCENY/THEFT"
"6160","ASSAULT"
"6161","NON-CRIMINAL"
"6162","LARCENY/THEFT"
"6163","LARCENY/THEFT"
"6164","LARCENY/THEFT"
"6165","LARCENY/THEFT"
"6166","LARCENY/THEFT"
"6167","NON-CRIMINAL"
"6168","NON-CRIMINAL"
"6169","LARCENY/THEFT"
"6170","LARCENY/THEFT"
"6171","NON-CRIMINAL"
"6172","OTHER OFFENSES"
"6173","LARCENY/THEFT"
"6174","OTHER OFFENSES"
"6175","LARCENY/THEFT"
"6176","NON-CRIMINAL"
"6177","NON-CRIMINAL"
"6178","NON-CRIMINAL"
"6179","LARCENY/THEFT"
"6180","LARCENY/THEFT"
"6181","NON-CRIMINAL"
"6182","NON-CRIMINAL"
"6183","NON-CRIMINAL"
"6184","OTHER OFFENSES"
"6185","OTHER OFFENSES"
"6186","LARCENY/THEFT"
"6187","LARCENY/THEFT"
"6188","NON-CRIMINAL"
"6189","OTHER OFFENSES"
"6190","OTHER OFFENSES"
"6191","OTHER OFFENSES"
"6192","OTHER OFFENSES"
"6193","VANDALISM"
"6194","OTHER OFFENSES"
"6195","LARCENY/THEFT"
"6196","LARCENY/THEFT"
"6197","LARCENY/THEFT"
"6198","LARCENY/THEFT"
"6199","LARCENY/THEFT"
"6200","NON-CRIMINAL"
"6201","LARCENY/THEFT"
"6202","NON-CRIMINAL"
"6203","NON-CRIMINAL"
"6204","NON-CRIMINAL"
"6205","LARCENY/THEFT"
"6206","LARCENY/THEFT"
"6207","LARCENY/THEFT"
"6208","ROBBERY"
"6209","NON-CRIMINAL"
"6210","LARCENY/THEFT"
"6211","LARCENY/THEFT"
"6212","LARCENY/THEFT"
"6213","LARCENY/THEFT"
"6214","LARCENY/THEFT"
"6215","LARCENY/THEFT"
"6216","LARCENY/THEFT"
"6217","LARCENY/THEFT"
"6218","NON-CRIMINAL"
"6219","NON-CRIMINAL"
"6220","NON-CRIMINAL"
"6221","LARCENY/THEFT"
"6222","LARCENY/THEFT"
"6223","LARCENY/THEFT"
"6224","LARCENY/THEFT"
"6225","LARCENY/THEFT"
"6226","OTHER OFFENSES"
"6227","NON-CRIMINAL"
"6228","LARCENY/THEFT"
"6229","OTHER OFFENSES"
"6230","LARCENY/THEFT"
"6231","LARCENY/THEFT"
"6232","LARCENY/THEFT"
"6233","LARCENY/THEFT"
"6234","LARCENY/THEFT"
"6235","ASSAULT"
"6236","ROBBERY"
"6237","LARCENY/THEFT"
"6238","LARCENY/THEFT"
"6239","OTHER OFFENSES"
"6240","LARCENY/THEFT"
"6241","LARCENY/THEFT"
"6242","ASSAULT"
"6243","ASSAULT"
"6244","NON-CRIMINAL"
"6245","NON-CRIMINAL"
"6246","LARCENY/THEFT"
"6247","LARCENY/THEFT"
"6248","NON-CRIMINAL"
"6249","NON-CRIMINAL"
"6250","NON-CRIMINAL"
"6251","OTHER OFFENSES"
"6252","OTHER OFFENSES"
"6253","OTHER OFFENSES"
"6254","OTHER OFFENSES"
"6255","OTHER OFFENSES"
"6256","LARCENY/THEFT"
"6257","NON-CRIMINAL"
"6258","NON-CRIMINAL"
"6259","OTHER OFFENSES"
"6260","LARCENY/THEFT"
"6261","OTHER OFFENSES"
"6262","NON-CRIMINAL"
"6263","LARCENY/THEFT"
"6264","LARCENY/THEFT"
"6265","LARCENY/THEFT"
"6266","VANDALISM"
"6267","BURGLARY"
"6268","LARCENY/THEFT"
"6269","LARCENY/THEFT"
"6270","LARCENY/THEFT"
"6271","LARCENY/THEFT"
"6272","LARCENY/THEFT"
"6273","NON-CRIMINAL"
"6274","NON-CRIMINAL"
"6275","ASSAULT"
"6276","LARCENY/THEFT"
"6277","LARCENY/THEFT"
"6278","OTHER OFFENSES"
"6279","LARCENY/THEFT"
"6280","LARCENY/THEFT"
"6281","LARCENY/THEFT"
"6282","NON-CRIMINAL"
"6283","OTHER OFFENSES"
"6284","BURGLARY"
"6285","LARCENY/THEFT"
"6286","LARCENY/THEFT"
"6287","OTHER OFFENSES"
"6288","LARCENY/THEFT"
"6289","LARCENY/THEFT"
"6290","LARCENY/THEFT"
"6291","OTHER OFFENSES"
"6292","NON-CRIMINAL"
"6293","LARCENY/THEFT"
"6294","LARCENY/THEFT"
"6295","OTHER OFFENSES"
"6296","LARCENY/THEFT"
"6297","LARCENY/THEFT"
"6298","OTHER OFFENSES"
"6299","NON-CRIMINAL"
"6300","OTHER OFFENSES"
"6301","OTHER OFFENSES"
"6302","LARCENY/THEFT"
"6303","LARCENY/THEFT"
"6304","LARCENY/THEFT"
"6305","FORGERY/COUNTERFEITING"
"6306","FORGERY/COUNTERFEITING"
"6307","LARCENY/THEFT"
"6308","OTHER OFFENSES"
"6309","OTHER OFFENSES"
"6310","LARCENY/THEFT"
"6311","OTHER OFFENSES"
"6312","OTHER OFFENSES"
"6313","LARCENY/THEFT"
"6314","LARCENY/THEFT"
"6315","OTHER OFFENSES"
"6316","OTHER OFFENSES"
"6317","OTHER OFFENSES"
"6318","OTHER OFFENSES"
"6319","OTHER OFFENSES"
"6320","OTHER OFFENSES"
"6321","LARCENY/THEFT"
"6322","OTHER OFFENSES"
"6323","OTHER OFFENSES"
"6324","OTHER OFFENSES"
"6325","LARCENY/THEFT"
"6326","LARCENY/THEFT"
"6327","LARCENY/THEFT"
"6328","LARCENY/THEFT"
"6329","LARCENY/THEFT"
"6330","ASSAULT"
"6331","LARCENY/THEFT"
"6332","LARCENY/THEFT"
"6333","OTHER OFFENSES"
"6334","LARCENY/THEFT"
"6335","LARCENY/THEFT"
"6336","LARCENY/THEFT"
"6337","LARCENY/THEFT"
"6338","LARCENY/THEFT"
"6339","LARCENY/THEFT"
"6340","LARCENY/THEFT"
"6341","LARCENY/THEFT"
"6342","LARCENY/THEFT"
"6343","LARCENY/THEFT"
"6344","LARCENY/THEFT"
"6345","OTHER OFFENSES"
"6346","NON-CRIMINAL"
"6347","LARCENY/THEFT"
"6348","OTHER OFFENSES"
"6349","OTHER OFFENSES"
"6350","OTHER OFFENSES"
"6351","NON-CRIMINAL"
"6352","OTHER OFFENSES"
"6353","OTHER OFFENSES"
"6354","LARCENY/THEFT"
"6355","OTHER OFFENSES"
"6356","LARCENY/THEFT"
"6357","OTHER OFFENSES"
"6358","LARCENY/THEFT"
"6359","LARCENY/THEFT"
"6360","LARCENY/THEFT"
"6361","LARCENY/THEFT"
"6362","LARCENY/THEFT"
"6363","LARCENY/THEFT"
"6364","LARCENY/THEFT"
"6365","OTHER OFFENSES"
"6366","NON-CRIMINAL"
"6367","NON-CRIMINAL"
"6368","NON-CRIMINAL"
"6369","LARCENY/THEFT"
"6370","LARCENY/THEFT"
"6371","LARCENY/THEFT"
"6372","LARCENY/THEFT"
"6373","OTHER OFFENSES"
"6374","OTHER OFFENSES"
"6375","OTHER OFFENSES"
"6376","OTHER OFFENSES"
"6377","NON-CRIMINAL"
"6378","NON-CRIMINAL"
"6379","NON-CRIMINAL"
"6380","OTHER OFFENSES"
"6381","OTHER OFFENSES"
"6382","NON-CRIMINAL"
"6383","LARCENY/THEFT"
"6384","LARCENY/THEFT"
"6385","LARCENY/THEFT"
"6386","OTHER OFFENSES"
"6387","OTHER OFFENSES"
"6388","LARCENY/THEFT"
"6389","NON-CRIMINAL"
"6390","VEHICLE THEFT"
"6391","VEHICLE THEFT"
"6392","NON-CRIMINAL"
"6393","LARCENY/THEFT"
"6394","LARCENY/THEFT"
"6395","LARCENY/THEFT"
"6396","OTHER OFFENSES"
"6397","LARCENY/THEFT"
"6398","LARCENY/THEFT"
"6399","LARCENY/THEFT"
"6400","LARCENY/THEFT"
"6401","NON-CRIMINAL"
"6402","OTHER OFFENSES"
"6403","LARCENY/THEFT"
"6404","LARCENY/THEFT"
"6405","LARCENY/THEFT"
"6406","OTHER OFFENSES"
"6407","OTHER OFFENSES"
"6408","OTHER OFFENSES"
"6409","LARCENY/THEFT"
"6410","OTHER OFFENSES"
"6411","OTHER OFFENSES"
"6412","OTHER OFFENSES"
"6413","OTHER OFFENSES"
"6414","LARCENY/THEFT"
"6415","LARCENY/THEFT"
"6416","LARCENY/THEFT"
"6417","ASSAULT"
"6418","LARCENY/THEFT"
"6419","LARCENY/THEFT"
"6420","LARCENY/THEFT"
"6421","LARCENY/THEFT"
"6422","NON-CRIMINAL"
"6423","NON-CRIMINAL"
"6424","OTHER OFFENSES"
"6425","OTHER OFFENSES"
"6426","LARCENY/THEFT"
"6427","LARCENY/THEFT"
"6428","LARCENY/THEFT"
"6429","SUSPICIOUS OCC"
"6430","LARCENY/THEFT"
"6431","NON-CRIMINAL"
"6432","NON-CRIMINAL"
"6433","LARCENY/THEFT"
"6434","ASSAULT"
"6435","LARCENY/THEFT"
"6436","LARCENY/THEFT"
"6437","LARCENY/THEFT"
"6438","NON-CRIMINAL"
"6439","LARCENY/THEFT"
"6440","LARCENY/THEFT"
"6441","ASSAULT"
"6442","LARCENY/THEFT"
"6443","LARCENY/THEFT"
"6444","LARCENY/THEFT"
"6445","OTHER OFFENSES"
"6446","LARCENY/THEFT"
"6447","LARCENY/THEFT"
"6448","LARCENY/THEFT"
"6449","MISSING PERSON"
"6450","LARCENY/THEFT"
"6451","OTHER OFFENSES"
"6452","OTHER OFFENSES"
"6453","OTHER OFFENSES"
"6454","LARCENY/THEFT"
"6455","LARCENY/THEFT"
"6456","LARCENY/THEFT"
"6457","LARCENY/THEFT"
"6458","ASSAULT"
"6459","ASSAULT"
"6460","LARCENY/THEFT"
"6461","OTHER OFFENSES"
"6462","OTHER OFFENSES"
"6463","LARCENY/THEFT"
"6464","WARRANTS"
"6465","LARCENY/THEFT"
"6466","LARCENY/THEFT"
"6467","ASSAULT"
"6468","LARCENY/THEFT"
"6469","LARCENY/THEFT"
"6470","NON-CRIMINAL"
"6471","LARCENY/THEFT"
"6472","ASSAULT"
"6473","ASSAULT"
"6474","LARCENY/THEFT"
"6475","LARCENY/THEFT"
"6476","LARCENY/THEFT"
"6477","ASSAULT"
"6478","LARCENY/THEFT"
"6479","OTHER OFFENSES"
"6480","OTHER OFFENSES"
"6481","OTHER OFFENSES"
"6482","LARCENY/THEFT"
"6483","LARCENY/THEFT"
"6484","LARCENY/THEFT"
"6485","LARCENY/THEFT"
"6486","LARCENY/THEFT"
"6487","NON-CRIMINAL"
"6488","LARCENY/THEFT"
"6489","LARCENY/THEFT"
"6490","LARCENY/THEFT"
"6491","LARCENY/THEFT"
"6492","LARCENY/THEFT"
"6493","LARCENY/THEFT"
"6494","OTHER OFFENSES"
"6495","LARCENY/THEFT"
"6496","LARCENY/THEFT"
"6497","NON-CRIMINAL"
"6498","NON-CRIMINAL"
"6499","LARCENY/THEFT"
"6500","OTHER OFFENSES"
"6501","NON-CRIMINAL"
"6502","LARCENY/THEFT"
"6503","NON-CRIMINAL"
"6504","LARCENY/THEFT"
"6505","LARCENY/THEFT"
"6506","LARCENY/THEFT"
"6507","LARCENY/THEFT"
"6508","LARCENY/THEFT"
"6509","LARCENY/THEFT"
"6510","LARCENY/THEFT"
"6511","OTHER OFFENSES"
"6512","LARCENY/THEFT"
"6513","NON-CRIMINAL"
"6514","LARCENY/THEFT"
"6515","NON-CRIMINAL"
"6516","WARRANTS"
"6517","LARCENY/THEFT"
"6518","OTHER OFFENSES"
"6519","LARCENY/THEFT"
"6520","LARCENY/THEFT"
"6521","OTHER OFFENSES"
"6522","OTHER OFFENSES"
"6523","NON-CRIMINAL"
"6524","NON-CRIMINAL"
"6525","LARCENY/THEFT"
"6526","OTHER OFFENSES"
"6527","ASSAULT"
"6528","VANDALISM"
"6529","ASSAULT"
"6530","ASSAULT"
"6531","ASSAULT"
"6532","OTHER OFFENSES"
"6533","OTHER OFFENSES"
"6534","LARCENY/THEFT"
"6535","LARCENY/THEFT"
"6536","OTHER OFFENSES"
"6537","ASSAULT"
"6538","LARCENY/THEFT"
"6539","LARCENY/THEFT"
"6540","LARCENY/THEFT"
"6541","MISSING PERSON"
"6542","OTHER OFFENSES"
"6543","LARCENY/THEFT"
"6544","OTHER OFFENSES"
"6545","LARCENY/THEFT"
"6546","LARCENY/THEFT"
"6547","LARCENY/THEFT"
"6548","OTHER OFFENSES"
"6549","LARCENY/THEFT"
"6550","LARCENY/THEFT"
"6551","LARCENY/THEFT"
"6552","LARCENY/THEFT"
"6553","NON-CRIMINAL"
"6554","NON-CRIMINAL"
"6555","LARCENY/THEFT"
"6556","LARCENY/THEFT"
"6557","LARCENY/THEFT"
"6558","LARCENY/THEFT"
"6559","LARCENY/THEFT"
"6560","LARCENY/THEFT"
"6561","NON-CRIMINAL"
"6562","LARCENY/THEFT"
"6563","LARCENY/THEFT"
"6564","LARCENY/THEFT"
"6565","LARCENY/THEFT"
"6566","NON-CRIMINAL"
"6567","LARCENY/THEFT"
"6568","LARCENY/THEFT"
"6569","LARCENY/THEFT"
"6570","LARCENY/THEFT"
"6571","LARCENY/THEFT"
"6572","OTHER OFFENSES"
"6573","LARCENY/THEFT"
"6574","LARCENY/THEFT"
"6575","LARCENY/THEFT"
"6576","LARCENY/THEFT"
"6577","LARCENY/THEFT"
"6578","LARCENY/THEFT"
"6579","LARCENY/THEFT"
"6580","LARCENY/THEFT"
"6581","LARCENY/THEFT"
"6582","NON-CRIMINAL"
"6583","LARCENY/THEFT"
"6584","LARCENY/THEFT"
"6585","LARCENY/THEFT"
"6586","OTHER OFFENSES"
"6587","LARCENY/THEFT"
"6588","NON-CRIMINAL"
"6589","LARCENY/THEFT"
"6590","NON-CRIMINAL"
"6591","LARCENY/THEFT"
"6592","NON-CRIMINAL"
"6593","LARCENY/THEFT"
"6594","LARCENY/THEFT"
"6595","LARCENY/THEFT"
"6596","OTHER OFFENSES"
"6597","OTHER OFFENSES"
"6598","LARCENY/THEFT"
"6599","LARCENY/THEFT"
"6600","OTHER OFFENSES"
"6601","OTHER OFFENSES"
"6602","ASSAULT"
"6603","OTHER OFFENSES"
"6604","OTHER OFFENSES"
"6605","NON-CRIMINAL"
"6606","LARCENY/THEFT"
"6607","LARCENY/THEFT"
"6608","NON-CRIMINAL"
"6609","LARCENY/THEFT"
"6610","LARCENY/THEFT"
"6611","LARCENY/THEFT"
"6612","LARCENY/THEFT"
"6613","OTHER OFFENSES"
"6614","ASSAULT"
"6615","LARCENY/THEFT"
"6616","LARCENY/THEFT"
"6617","LARCENY/THEFT"
"6618","LARCENY/THEFT"
"6619","OTHER OFFENSES"
"6620","OTHER OFFENSES"
"6621","LARCENY/THEFT"
"6622","MISSING PERSON"
"6623","LARCENY/THEFT"
"6624","NON-CRIMINAL"
"6625","ASSAULT"
"6626","LARCENY/THEFT"
"6627","LARCENY/THEFT"
"6628","LARCENY/THEFT"
"6629","LARCENY/THEFT"
"6630","OTHER OFFENSES"
"6631","LARCENY/THEFT"
"6632","NON-CRIMINAL"
"6633","OTHER OFFENSES"
"6634","OTHER OFFENSES"
"6635","OTHER OFFENSES"
"6636","OTHER OFFENSES"
"6637","OTHER OFFENSES"
"6638","OTHER OFFENSES"
"6639","ASSAULT"
"6640","LARCENY/THEFT"
"6641","NON-CRIMINAL"
"6642","OTHER OFFENSES"
"6643","ASSAULT"
"6644","OTHER OFFENSES"
"6645","OTHER OFFENSES"
"6646","OTHER OFFENSES"
"6647","OTHER OFFENSES"
"6648","OTHER OFFENSES"
"6649","OTHER OFFENSES"
"6650","OTHER OFFENSES"
"6651","LARCENY/THEFT"
"6652","LARCENY/THEFT"
"6653","LARCENY/THEFT"
"6654","LARCENY/THEFT"
"6655","LARCENY/THEFT"
"6656","NON-CRIMINAL"
"6657","LARCENY/THEFT"
"6658","LARCENY/THEFT"
"6659","LARCENY/THEFT"
"6660","LARCENY/THEFT"
"6661","OTHER OFFENSES"
"6662","OTHER OFFENSES"
"6663","LARCENY/THEFT"
"6664","OTHER OFFENSES"
"6665","OTHER OFFENSES"
"6666","LARCENY/THEFT"
"6667","LARCENY/THEFT"
"6668","LARCENY/THEFT"
"6669","LARCENY/THEFT"
"6670","LARCENY/THEFT"
"6671","LARCENY/THEFT"
"6672","NON-CRIMINAL"
"6673","LARCENY/THEFT"
"6674","LARCENY/THEFT"
"6675","OTHER OFFENSES"
"6676","LARCENY/THEFT"
"6677","LARCENY/THEFT"
"6678","LARCENY/THEFT"
"6679","LARCENY/THEFT"
"6680","LARCENY/THEFT"
"6681","LARCENY/THEFT"
"6682","LARCENY/THEFT"
"6683","OTHER OFFENSES"
"6684","LARCENY/THEFT"
"6685","LARCENY/THEFT"
"6686","LARCENY/THEFT"
"6687","LARCENY/THEFT"
"6688","LARCENY/THEFT"
"6689","LARCENY/THEFT"
"6690","OTHER OFFENSES"
"6691","NON-CRIMINAL"
"6692","LARCENY/THEFT"
"6693","LARCENY/THEFT"
"6694","LARCENY/THEFT"
"6695","LARCENY/THEFT"
"6696","OTHER OFFENSES"
"6697","NON-CRIMINAL"
"6698","LARCENY/THEFT"
"6699","LARCENY/THEFT"
"6700","LARCENY/THEFT"
"6701","OTHER OFFENSES"
"6702","OTHER OFFENSES"
"6703","LARCENY/THEFT"
"6704","LARCENY/THEFT"
"6705","OTHER OFFENSES"
"6706","LARCENY/THEFT"
"6707","NON-CRIMINAL"
"6708","LARCENY/THEFT"
"6709","LARCENY/THEFT"
"6710","NON-CRIMINAL"
"6711","NON-CRIMINAL"
"6712","OTHER OFFENSES"
"6713","OTHER OFFENSES"
"6714","LARCENY/THEFT"
"6715","LARCENY/THEFT"
"6716","LARCENY/THEFT"
"6717","LARCENY/THEFT"
"6718","WARRANTS"
"6719","ASSAULT"
"6720","ASSAULT"
"6721","LARCENY/THEFT"
"6722","OTHER OFFENSES"
"6723","OTHER OFFENSES"
"6724","LARCENY/THEFT"
"6725","OTHER OFFENSES"
"6726","OTHER OFFENSES"
"6727","LARCENY/THEFT"
"6728","LARCENY/THEFT"
"6729","LARCENY/THEFT"
"6730","LARCENY/THEFT"
"6731","OTHER OFFENSES"
"6732","VEHICLE THEFT"
"6733","LARCENY/THEFT"
"6734","OTHER OFFENSES"
"6735","OTHER OFFENSES"
"6736","OTHER OFFENSES"
"6737","LARCENY/THEFT"
"6738","OTHER OFFENSES"
"6739","LARCENY/THEFT"
"6740","LARCENY/THEFT"
"6741","VEHICLE THEFT"
"6742","VEHICLE THEFT"
"6743","LARCENY/THEFT"
"6744","OTHER OFFENSES"
"6745","LARCENY/THEFT"
"6746","LARCENY/THEFT"
"6747","LARCENY/THEFT"
"6748","OTHER OFFENSES"
"6749","OTHER OFFENSES"
"6750","OTHER OFFENSES"
"6751","OTHER OFFENSES"
"6752","OTHER OFFENSES"
"6753","ASSAULT"
"6754","OTHER OFFENSES"
"6755","OTHER OFFENSES"
"6756","OTHER OFFENSES"
"6757","LARCENY/THEFT"
"6758","LARCENY/THEFT"
"6759","LARCENY/THEFT"
"6760","LARCENY/THEFT"
"6761","LARCENY/THEFT"
"6762","LARCENY/THEFT"
"6763","OTHER OFFENSES"
"6764","ASSAULT"
"6765","LARCENY/THEFT"
"6766","ASSAULT"
"6767","LARCENY/THEFT"
"6768","LARCENY/THEFT"
"6769","LARCENY/THEFT"
"6770","LARCENY/THEFT"
"6771","LARCENY/THEFT"
"6772","LARCENY/THEFT"
"6773","LARCENY/THEFT"
